# File: EPA_ODSS_Solvents.csv
# Title: HFC emissions from Solvents
# Description: Sector ODS Substitutes (Industry)
# Units: MTCO2eq
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,,Africa
Denmark,0,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,OECD
Djibouti,0,0,0,0,0,0,0,0,0,Africa,
Dominica,0,0,0,0,0,0,0,0,0,Central and South America,
Dominican Republic,0,0,0,0,0,0,0,0,0,Central and South America,
Ecuador,0,0,0,0,0,0,0,0,0,,Central and South America
Egypt,0,0,0,0,0,0,0.01,0.01,0.01,,Africa
El Salvador,0,0,0,0,0,0,0,0,0,Central and South America,
Equatorial Guinea,0,0,0,0,0,0,0,0,0,Africa,
Eritrea,0,0,0,0,0,0,0,0,0,Africa,
Estonia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Ethiopia,0,0,0,0,0,0,0,0,0,,Africa
Fiji,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Finland,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,OECD
France,0,0.08,0.16,0.17,0.18,0.19,0.2,0.21,0.22,,OECD
Gabon,0,0,0,0,0,0,0,0,0,Africa,
Gambia,0,0,0,0,0,0,0,0,0,Africa,
Georgia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Germany,0,0.11,0.22,0.24,0.25,0.26,0.28,0.29,0.31,,OECD
Ghana,0,0,0,0,0,0,0,0,0,Africa,
Greece,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,OECD
Grenada,0,0,0,0,0,0,0,0,0,Central and South America,
Guatemala,0,0,0,0,0,0,0,0,0,Central and South America,
Guinea,0,0,0,0,0,0,0,0,0,Africa,
Guinea-Bissau,0,0,0,0,0,0,0,0,0,Africa,
Guyana,0,0,0,0,0,0,0,0,0,Central and South America,
Haiti,0,0,0,0,0,0,0,0,0,Central and South America,
Honduras,0,0,0,0,0,0,0,0,0,Central and South America,
Hungary,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,,OECD
Iceland,0,0,0,0,0,0,0,0,0,,OECD
India,0,0.01,0.02,0.03,0.05,0.06,0.09,0.12,0.16,,Non-OECD Asia
Indonesia,0,0,0.01,0.01,0.02,0.02,0.02,0.03,0.04,,Non-OECD Asia
Iran,0,0,0,0,0,0,0,0,0,,Middle East
Ireland,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,OECD
Israel,0,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05,,OECD
Italy,0,0.07,0.15,0.16,0.17,0.18,0.19,0.2,0.2,,OECD
Jamaica,0,0,0,0,0,0,0,0,0,Central and South America,
Japan,0,0.45,0.86,0.9,0.92,0.97,1.03,1.1,1.17,,OECD
Jordan,0,0,0,0,0,0,0,0,0,,Middle East
Kazakhstan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Kenya,0,0,0,0,0,0,0,0,0,Africa,
Kiribati,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Kuwait,0,0,0,0,0,0,0,0,0,,Middle East
Kyrgyzstan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Laos,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Latvia,0,0,0,0,0,0,0,0.01,0.01,,Non-OECD Europe & Eurasia
Lebanon,0,0,0,0,0,0,0,0,0,Middle East,
Lesotho,0,0,0,0,0,0,0,0,0,Africa,
Liberia,0,0,0,0,0,0,0,0,0,Africa,
Libya,0,0,0,0,0,0,0,0,0,Africa,
Liechtenstein,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Lithuania,0,0,0,0,0,0.01,0.01,0.01,0.01,,Non-OECD Europe & Eurasia
Luxembourg,0,0,0,0,0,0,0,0,0,,OECD
Macedonia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Madagascar,0,0,0,0,0,0,0,0,0,Africa,
Malawi,0,0,0,0,0,0,0,0,0,Africa,
Malaysia,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Maldives,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Mali,0,0,0,0,0,0,0,0,0,Africa,
Malta,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,
Marshall Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Mauritania,0,0,0,0,0,0,0,0,0,Africa,
Mauritius,0,0,0,0,0,0,0,0,0,Africa,
Mexico,0,0.03,0.06,0.07,0.08,0.09,0.1,0.12,0.14,,OECD
Micronesia (Federated States of),0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Moldova,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Monaco,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Mongolia,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Montenegro,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,
Morocco,0,0,0,0,0,0,0,0,0,Africa,
Mozambique,0,0,0,0,0,0,0,0,0,Africa,
Burma,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Namibia,0,0,0,0,0,0,0,0,0,Africa,
Nauru,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Nepal,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Netherlands,0,0.02,0.04,0.04,0.04,0.05,0.05,0.05,0.05,,OECD
New Zealand,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,OECD
Nicaragua,0,0,0,0,0,0,0,0,0,Central and South America,
Niger,0,0,0,0,0,0,0,0,0,Africa,
Nigeria,0,0,0,0,0,0,0,0,0,,Africa
Niue,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
North Korea,0,0,0,0,0,0,0.01,0.01,0.01,,Non-OECD Asia
Norway,0,0,0,0,0,0,0,0.01,0.01,,OECD
Oman,0,0,0,0,0,0,0,0,0,Middle East,
Pakistan,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Palau,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Panama,0,0,0,0,0,0,0,0,0,Central and South America,
Papua New Guinea,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Paraguay,0,0,0,0,0,0,0,0,0,Central and South America,
Peru,0,0,0,0,0,0,0,0,0,,Central and South America
Philippines,0,0,0,0.01,0.01,0.01,0.01,0.01,0.02,,Non-OECD Asia
Poland,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,,OECD
Portugal,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,OECD
Qatar,0,0,0,0,0,0,0,0,0,Middle East,
Romania,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,,Non-OECD Europe & Eurasia
Russia,0,0.1,0.2,0.28,0.36,0.44,0.54,0.66,0.81,,Non-OECD Europe & Eurasia
Rwanda,0,0,0,0,0,0,0,0,0,Africa,
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,Central and South America,
Saint Lucia,0,0,0,0,0,0,0,0,0,Central and South America,
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,Central and South America,
Samoa,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,Africa,
Saudi Arabia,0,0,0,0,0,0.01,0.01,0.01,0.01,,Middle East
Senegal,0,0,0,0,0,0,0,0.01,0.01,,Africa
Serbia,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,
Seychelles,0,0,0,0,0,0,0,0,0,Africa,
Sierra Leone,0,0,0,0,0,0,0,0,0,Africa,
Singapore,0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,,Non-OECD Asia
Slovakia,0,0,0,0,0,0,0,0.01,0.01,,OECD
Slovenia,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,,OECD
Solomon Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Somalia,0,0,0,0,0,0,0,0,0,Africa,
South Africa,0,0.02,0.04,0.05,0.07,0.08,0.1,0.12,0.14,,Africa
South Korea,0,0.05,0.11,0.14,0.17,0.2,0.24,0.28,0.33,,OECD
Spain,0,0.03,0.07,0.07,0.08,0.08,0.08,0.09,0.09,,OECD
Sri Lanka,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Sudan,0,0,0,0,0,0,0,0,0,Africa,
Suriname,0,0,0,0,0,0,0,0,0,Central and South America,
Swaziland,0,0,0,0,0,0,0,0,0,Africa,
Sweden,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,OECD
Switzerland,0,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,,OECD
Syria,0,0,0,0,0,0,0,0,0,Middle East,
Tajikistan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Thailand,0,0.01,0.03,0.03,0.04,0.05,0.06,0.08,0.09,,Non-OECD Asia
Togo,0,0,0,0,0,0,0,0,0,Africa,
Tonga,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,Central and South America,
Tunisia,0,0,0,0,0,0,0,0,0,Africa,
Turkey,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,,OECD
Turkmenistan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Tuvalu,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Uganda,0,0,0,0,0,0,0,0,0,,Africa
Ukraine,0,0,0,0,0,0,0,0.01,0.01,,Non-OECD Europe & Eurasia
United Arab Emirates,0,0,0,0,0,0,0,0,0,,Middle East
United Kingdom,0,0.05,0.11,0.11,0.12,0.13,0.13,0.14,0.15,,OECD
Tanzania,0,0,0,0,0,0,0,0,0,Africa,
United States,0,0.49,1.09,1.2,1.32,1.46,1.61,1.78,1.97,,OECD
Uruguay,0,0,0,0,0,0,0,0,0,,Central and South America
Uzbekistan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Vanuatu,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Venezuela,0,0,0,0,0,0,0,0,0,,Central and South America
Vietnam,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Yemen,0,0,0,0,0,0,0,0,0,Middle East,
Zambia,0,0,0,0,0,0,0,0,0,Africa,
Zimbabwe,0,0,0,0,0,0,0,0,0,Africa,
