# File: EPA_ODSS_Aerosols.csv
# Title: HFC emissions from MDI aerosols
# Description: Sector ODS Substitutes (Industry)
# Units: MTCO2eq
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region
Colombia,0,0,0,0,0,0,0,0,0,,Central and South America
Comoros,0,0,0,0,0,0,0,0,0,Africa,
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,Africa,
Cook Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Costa Rica,0,0,0,0,0,0,0,0,0,Central and South America,
Côte d'Ivoire,0,0,0,0,0.02,0.03,0.04,0.04,0.05,Africa,
Croatia,0,0,0,0.01,0.12,0.24,0.27,0.3,0.34,,Non-OECD Europe & Eurasia
Cuba,0,0,0.01,0.02,0.3,0.6,0.69,0.8,0.91,Central and South America,
Cyprus,0,0,0,0.01,0.01,0.02,0.02,0.02,0.02,Non-OECD Europe & Eurasia,
Czech Republic,0,0.03,0.06,0.1,0.22,0.32,0.35,0.38,0.41,,OECD
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,,Africa
Denmark,0,0.06,0.06,0.07,0.15,0.23,0.24,0.24,0.24,,OECD
Djibouti,0,0,0,0,0,0,0,0.01,0.01,Africa,
Dominica,0,0,0,0,0,0,0,0,0,Central and South America,
Dominican Republic,0,0,0,0,0,0,0,0,0,Central and South America,
Ecuador,0,0,0,0,0.03,0.06,0.07,0.08,0.1,,Central and South America
Egypt,0,0,0,0,0,0,0,0,0,,Africa
El Salvador,0,0,0,0,0,0,0,0,0,Central and South America,
Equatorial Guinea,0,0,0,0,0,0,0,0,0,Africa,
Eritrea,0,0,0,0,0,0,0,0,0,Africa,
Estonia,0,0,0,0,0.01,0.01,0.01,0.01,0.01,,Non-OECD Europe & Eurasia
Ethiopia,0,0,0,0,0,0,0,0,0,,Africa
Fiji,0,0,0,0,0,0.01,0.01,0.01,0.02,Non-OECD Asia,
Finland,0,0.02,0.02,0.03,0.06,0.09,0.09,0.1,0.1,,OECD
France,0,0.53,0.55,0.6,1.42,2.16,2.19,2.21,2.22,,OECD
Gabon,0,0,0,0,0,0,0,0,0,Africa,
Gambia,0,0,0,0,0,0,0,0,0,Africa,
Georgia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Germany,0,0.73,0.76,0.83,1.94,2.96,3,3.03,3.04,,OECD
Ghana,0,0,0,0,0,0,0,0,0,Africa,
Greece,0,0.04,0.04,0.04,0.1,0.15,0.15,0.15,0.15,,OECD
Grenada,0,0,0,0,0,0,0,0,0,Central and South America,
Guatemala,0,0,0,0,0,0,0,0,0,Central and South America,
Guinea,0,0,0,0,0,0,0.01,0.01,0.01,Africa,
Guinea-Bissau,0,0,0,0,0,0,0,0.01,0.01,Africa,
Guyana,0,0,0,0,0,0,0,0,0,Central and South America,
Haiti,0,0,0,0,0.01,0.03,0.03,0.04,0.04,Central and South America,
Honduras,0,0,0,0,0,0,0,0,0,Central and South America,
Hungary,0,0.03,0.05,0.09,0.19,0.28,0.31,0.34,0.36,,OECD
Iceland,0,0,0,0,0,0.01,0.01,0.01,0.01,,OECD
India,0,0,0.04,0.16,2.38,5.68,7.58,9.93,12.95,,Non-OECD Asia
Indonesia,0,0,0.01,0.04,0.44,0.93,1.12,1.33,1.56,,Non-OECD Asia
Iran,0,0,0,0,0,0,0,0,0,,Middle East
Ireland,0,0.02,0.02,0.02,0.05,0.08,0.08,0.08,0.08,,OECD
Israel,0,0,0.01,0.03,0.41,0.85,1,1.17,1.37,,OECD
Italy,0,0.49,0.5,0.55,1.3,1.97,2,2.02,2.03,,OECD
Jamaica,0,0,0,0,0,0,0,0,0,Central and South America,
Japan,0,0,0.07,0.15,1.16,2.09,2.17,2.26,2.34,,OECD
Jordan,0,0,0,0.01,0.13,0.28,0.33,0.38,0.45,,Middle East
Kazakhstan,0,0,0.01,0.02,0.04,0.06,0.06,0.07,0.09,,Non-OECD Europe & Eurasia
Kenya,0,0,0,0,0,0,0,0,0,Africa,
Kiribati,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Kuwait,0,0,0,0.01,0.16,0.33,0.39,0.45,0.53,,Middle East
Kyrgyzstan,0,0,0,0,0,0,0.01,0.01,0.01,,Non-OECD Europe & Eurasia
Laos,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Latvia,0,0.02,0.03,0.06,0.12,0.19,0.22,0.25,0.3,,Non-OECD Europe & Eurasia
Lebanon,0,0,0,0.01,0.18,0.36,0.43,0.5,0.58,Middle East,
Lesotho,0,0,0,0,0,0,0,0,0,Africa,
Liberia,0,0,0,0,0,0.01,0.01,0.01,0.01,Africa,
Libya,0,0,0,0,0.02,0.05,0.06,0.07,0.08,Africa,
Liechtenstein,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Lithuania,0,0.02,0.03,0.07,0.15,0.22,0.25,0.3,0.34,,Non-OECD Europe & Eurasia
Luxembourg,0,0,0,0.01,0.01,0.02,0.02,0.02,0.02,,OECD
Macedonia,0,0,0,0.02,0.19,0.38,0.43,0.49,0.54,,Non-OECD Europe & Eurasia
Madagascar,0,0,0,0,0,0,0,0,0,Africa,
Malawi,0,0,0,0,0,0,0,0,0,Africa,
Malaysia,0,0,0,0.02,0.25,0.52,0.62,0.74,0.86,Non-OECD Asia,
Maldives,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Mali,0,0,0,0,0,0,0,0,0,Africa,
Malta,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,
Marshall Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Mauritania,0,0,0,0,0,0,0,0,0,Africa,
Mauritius,0,0,0,0,0.06,0.12,0.14,0.16,0.19,Africa,
Mexico,0,0,0.05,0.17,1.91,3.74,4.23,4.78,5.39,,OECD
Micronesia (Federated States of),0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Moldova,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Monaco,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Mongolia,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Montenegro,0,0,0,0,0.02,0.03,0.03,0.04,0.04,Non-OECD Europe & Eurasia,
Morocco,0,0,0,0,0,0.01,0.01,0.01,0.01,Africa,
Mozambique,0,0,0,0,0,0,0,0,0,Africa,
Burma,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Namibia,0,0,0,0,0,0,0,0,0,Africa,
Nauru,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Nepal,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Netherlands,0,0.13,0.13,0.14,0.34,0.51,0.52,0.52,0.53,,OECD
New Zealand,0,0.02,0.02,0.02,0.05,0.08,0.09,0.1,0.11,,OECD
Nicaragua,0,0,0,0,0,0,0,0,0,Central and South America,
Niger,0,0,0,0,0,0,0,0,0,Africa,
Nigeria,0,0,0,0,0,0,0,0,0,,Africa
Niue,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
North Korea,0,0,0,0.01,0.1,0.22,0.26,0.31,0.36,,Non-OECD Asia
Norway,0,0,0.01,0.01,0.03,0.05,0.05,0.05,0.05,,OECD
Oman,0,0,0,0,0.03,0.06,0.07,0.08,0.09,Middle East,
Pakistan,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Palau,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Panama,0,0,0,0,0,0,0,0,0,Central and South America,
Papua New Guinea,0,0,0,0,0.01,0.01,0.01,0.02,0.02,Non-OECD Asia,
Paraguay,0,0,0,0,0,0,0,0,0,Central and South America,
Peru,0,0,0,0,0,0,0,0,0,,Central and South America
Philippines,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Poland,0,0.03,0.05,0.09,0.2,0.29,0.32,0.35,0.37,,OECD
Portugal,0,0.03,0.03,0.03,0.08,0.12,0.12,0.12,0.13,,OECD
Qatar,0,0,0,0,0.01,0.02,0.02,0.02,0.03,Middle East,
Romania,0,0,0.01,0.01,0.03,0.05,0.05,0.06,0.06,,Non-OECD Europe & Eurasia
Russia,0,0.34,0.63,1.18,2.64,3.95,4.6,5.36,6.24,,Non-OECD Europe & Eurasia
Rwanda,0,0,0,0,0,0.01,0.01,0.01,0.01,Africa,
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,Central and South America,
Saint Lucia,0,0,0,0,0,0,0,0,0,Central and South America,
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,Central and South America,
Samoa,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,Africa,
Saudi Arabia,0,0,0.01,0.03,0.33,0.69,0.81,0.95,1.11,,Middle East
Senegal,0,0,0,0,0.01,0.02,0.02,0.02,0.03,,Africa
Serbia,0,0.01,0.02,0.03,0.07,0.1,0.11,0.12,0.13,Non-OECD Europe & Eurasia,
Seychelles,0,0,0,0,0,0,0,0,0,Africa,
Sierra Leone,0,0,0,0,0.01,0.01,0.02,0.02,0.02,Africa,
Singapore,0,0,0,0.01,0.07,0.15,0.18,0.22,0.26,,Non-OECD Asia
Slovakia,0,0.01,0.02,0.04,0.08,0.11,0.13,0.14,0.15,,OECD
Slovenia,0,0.01,0.03,0.04,0.1,0.14,0.15,0.17,0.18,,OECD
Solomon Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Somalia,0,0,0,0,0.02,0.04,0.04,0.05,0.06,Africa,
South Africa,0,0,0.02,0.07,0.86,1.79,2.13,2.52,2.93,,Africa
South Korea,0,0,0,0,0,0,0,0,0,,OECD
Spain,0,0.22,0.23,0.25,0.59,0.89,0.91,0.91,0.92,,OECD
Sri Lanka,0,0,0,0,0.01,0.03,0.03,0.04,0.05,Non-OECD Asia,
Sudan,0,0,0,0.01,0.14,0.28,0.34,0.4,0.47,Africa,
Suriname,0,0,0,0,0,0.01,0.01,0.01,0.01,Central and South America,
Swaziland,0,0,0,0,0,0,0,0,0,Africa,
Sweden,0,0.03,0.03,0.04,0.08,0.13,0.13,0.13,0.13,,OECD
Switzerland,0,0.01,0.03,0.04,0.13,0.2,0.2,0.2,0.21,,OECD
Syria,0,0,0.01,0.04,0.52,1.07,1.26,1.48,1.72,Middle East,
Tajikistan,0,0,0,0,0,0.01,0.01,0.01,0.01,,Non-OECD Europe & Eurasia
Thailand,0,0,0.01,0.05,0.66,1.39,1.67,1.98,2.33,,Non-OECD Asia
Togo,0,0,0,0,0.01,0.02,0.02,0.02,0.02,Africa,
Tonga,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Trinidad and Tobago,0,0,0,0.01,0.12,0.24,0.28,0.32,0.36,Central and South America,
Tunisia,0,0,0.01,0.03,0.33,0.68,0.81,0.94,1.1,Africa,
Turkey,0,0,0,0,0.05,0.11,0.13,0.15,0.17,,OECD
Turkmenistan,0,0,0,0,0,0.01,0.01,0.01,0.01,,Non-OECD Europe & Eurasia
Tuvalu,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Uganda,0,0,0,0,0,0,0,0,0,,Africa
Ukraine,0,0.02,0.03,0.05,0.12,0.18,0.21,0.24,0.28,,Non-OECD Europe & Eurasia
United Arab Emirates,0,0,0,0,0.04,0.08,0.09,0.11,0.12,,Middle East
United Kingdom,0,0.43,0.45,0.49,1.16,1.76,1.79,1.8,1.81,,OECD
Tanzania,0,0,0,0,0.01,0.02,0.02,0.03,0.03,Africa,
United States,0,8.11,10.08,5.93,8.88,11.92,13.02,14.23,15.55,,OECD
Uruguay,0,0,0,0,0.04,0.07,0.08,0.09,0.11,,Central and South America
Uzbekistan,0,0.01,0.02,0.03,0.06,0.1,0.11,0.13,0.15,,Non-OECD Europe & Eurasia
Vanuatu,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Venezuela,0,0,0,0.01,0.09,0.17,0.2,0.23,0.26,,Central and South America
Vietnam,0,0,0,0.02,0.25,0.53,0.64,0.76,0.89,,Non-OECD Asia
Yemen,0,0,0,0,0,0,0,0,0,Middle East,
Zambia,0,0,0,0,0,0,0,0,0,Africa,
Zimbabwe,0,0,0,0,0,0,0,0,0,Africa,
